sample_id,category,academic_subject,query,expected_route,actual_route,route_correct,search_called,search_call_count,search_success,extract_called,extract_call_count,extract_success,retrieved_source_count,usable_source_count,evidence_sufficient,answer_generated,answer_correctness,faithfulness,substantive_claim_count,unsupported_claim_count_proxy,citation_count,citation_valid,citation_supports_claim,correct_refusal,total_latency_ms,primary_failure_stage,evaluation_scope,evaluation_reason
A17,ACADEMIC,大学物理,电磁感应定律的物理含义是什么？,ACADEMIC_RETRIEVAL,ACADEMIC_RETRIEVAL,True,True,1,True,True,1,True,5,2,True,True,1,2,3,0,1,True,True,False,20231.622,G,PROVISIONAL_PROXY_LOCAL_SELF_EVAL,提供了电磁感应定律的物理含义，并且证据充足且支持充分。
A15,ACADEMIC,概率统计,p值和显著性水平应该如何解释？,ACADEMIC_RETRIEVAL,ACADEMIC_RETRIEVAL,True,True,1,True,True,1,True,5,3,True,True,1,1,3,0,2,True,True,False,23035.983,G,PROVISIONAL_PROXY_LOCAL_SELF_EVAL,提供了p值和显著性水平的解释，并给出了相关证据。
A08,ACADEMIC,线性代数,SVD分解在最小二乘中的作用如何解释？,ACADEMIC_RETRIEVAL,ACADEMIC_RETRIEVAL,True,True,1,True,True,1,True,5,2,True,True,1,2,7,7,0,False,False,False,27543.94,G,PROVISIONAL_PROXY_LOCAL_SELF_EVAL,证据支持了SVD分解在最小二乘中的作用，通过将最小二乘问题转化为求解SVD分解的最小二乘问题，简化求解过程。
A24,ACADEMIC,经济学/计量,单位根检验和协整关系有什么区别？,ACADEMIC_RETRIEVAL,ACADEMIC_RETRIEVAL,True,True,1,True,True,1,True,5,1,True,True,1,2,5,0,2,True,True,False,31434.535,G,PROVISIONAL_PROXY_LOCAL_SELF_EVAL,提供了单位根检验和协整关系的定义和区别，并提供了相关理论背景和解释。
A26,ACADEMIC,计算机/算法,Dijkstra算法为什么要求边权非负？,ACADEMIC_RETRIEVAL,ACADEMIC_RETRIEVAL,True,True,1,True,True,1,True,5,3,True,True,1,2,3,3,0,False,False,False,23001.968,G,PROVISIONAL_PROXY_LOCAL_SELF_EVAL,"The answer provides a clear explanation of why Dijkstra's algorithm requires non-negative edge weights, avoiding the pos"
A02,ACADEMIC,高等数学,二重积分换元时雅可比行列式有什么作用？,ACADEMIC_RETRIEVAL,ACADEMIC_RETRIEVAL,True,True,2,True,True,1,True,10,3,True,True,1,1,3,0,2,True,True,False,26901.525,G,PROVISIONAL_PROXY_LOCAL_SELF_EVAL,提供了关于二重积分换元时雅可比行列式作用的详细解释，包括作用、计算面积变化和积分大小的方法。
C03,CAMPUS,,清华校医院联系方式是什么？,CAMPUS_PUBLIC,CAMPUS_PUBLIC,True,True,1,True,True,1,True,5,3,True,True,1,1,0,0,1,True,True,False,30666.283,G,PROVISIONAL_PROXY_LOCAL_SELF_EVAL,提供了清华校医院的科室介绍和就医指南，但没有提供具体的联系方式。
C01,CAMPUS,,清华图书馆今天几点关门？,CAMPUS_PUBLIC,CAMPUS_PUBLIC,True,True,1,True,True,1,True,5,3,False,True,0,0,0,0,0,False,False,True,19136.629,E,PROVISIONAL_PROXY_LOCAL_SELF_EVAL,提供的资料中没有关于清华图书馆今天关门时间的信息。
G01,GENERAL,,2026年量子计算领域有哪些最新新闻？,GENERAL_WEB,GENERAL_WEB,True,True,1,True,True,1,True,5,3,True,True,1,1,3,0,2,True,True,False,35760.525,G,PROVISIONAL_PROXY_LOCAL_SELF_EVAL,提供了多个关于2026年量子计算领域最新新闻的证据，证据充足且支持性证据充足。
G02,GENERAL,,动态规划软件市场规模目前是多少？,GENERAL_WEB,GENERAL_WEB,True,True,1,True,True,1,True,5,3,True,True,1,1,0,0,0,False,False,False,20513.847,G,PROVISIONAL_PROXY_LOCAL_SELF_EVAL,提供了关于创意软件市场研究报告的证据，但没有直接提到动态规划软件的市场规模。
N04,HARD_NEGATIVE,,哪个国家的人口最多？,GENERAL_WEB,GENERAL_WEB,True,True,1,True,True,1,True,5,3,True,True,1,1,0,0,1,True,True,False,22731.649,G,PROVISIONAL_PROXY_LOCAL_SELF_EVAL,维基百科提供了多个国家的人口数据，但没有明确指出哪个国家的人口最多。
N02,HARD_NEGATIVE,,苹果公司的固定效果是什么？,UNCERTAIN,UNCERTAIN,True,False,0,,False,0,,0,0,False,True,0,1,0,0,0,False,False,True,8957.297,,PROVISIONAL_PROXY_LOCAL_SELF_EVAL,提供的资料中没有关于苹果公司固定效果的信息
