dataset,expected,predicted,count
development,EVIDENCE_SUFFICIENT,EVIDENCE_SUFFICIENT,5
development,EVIDENCE_SUFFICIENT,EVIDENCE_PARTIAL,1
development,EVIDENCE_SUFFICIENT,EVIDENCE_INSUFFICIENT,0
development,EVIDENCE_PARTIAL,EVIDENCE_SUFFICIENT,0
development,EVIDENCE_PARTIAL,EVIDENCE_PARTIAL,2
development,EVIDENCE_PARTIAL,EVIDENCE_INSUFFICIENT,0
development,EVIDENCE_INSUFFICIENT,EVIDENCE_SUFFICIENT,1
development,EVIDENCE_INSUFFICIENT,EVIDENCE_PARTIAL,1
development,EVIDENCE_INSUFFICIENT,EVIDENCE_INSUFFICIENT,2
holdout,EVIDENCE_SUFFICIENT,EVIDENCE_SUFFICIENT,1
holdout,EVIDENCE_SUFFICIENT,EVIDENCE_PARTIAL,0
holdout,EVIDENCE_SUFFICIENT,EVIDENCE_INSUFFICIENT,0
holdout,EVIDENCE_PARTIAL,EVIDENCE_SUFFICIENT,0
holdout,EVIDENCE_PARTIAL,EVIDENCE_PARTIAL,1
holdout,EVIDENCE_PARTIAL,EVIDENCE_INSUFFICIENT,0
holdout,EVIDENCE_INSUFFICIENT,EVIDENCE_SUFFICIENT,0
holdout,EVIDENCE_INSUFFICIENT,EVIDENCE_PARTIAL,0
holdout,EVIDENCE_INSUFFICIENT,EVIDENCE_INSUFFICIENT,3
synthetic,EVIDENCE_SUFFICIENT,EVIDENCE_SUFFICIENT,0
synthetic,EVIDENCE_SUFFICIENT,EVIDENCE_PARTIAL,0
synthetic,EVIDENCE_SUFFICIENT,EVIDENCE_INSUFFICIENT,0
synthetic,EVIDENCE_PARTIAL,EVIDENCE_SUFFICIENT,0
synthetic,EVIDENCE_PARTIAL,EVIDENCE_PARTIAL,2
synthetic,EVIDENCE_PARTIAL,EVIDENCE_INSUFFICIENT,2
synthetic,EVIDENCE_INSUFFICIENT,EVIDENCE_SUFFICIENT,7
synthetic,EVIDENCE_INSUFFICIENT,EVIDENCE_PARTIAL,13
synthetic,EVIDENCE_INSUFFICIENT,EVIDENCE_INSUFFICIENT,16
