id,parent_list_id,title,url,source_domain,source_file,crawl_time,extraction_method,selector_used,content_quality_class,quality_gate_pass,old_action,action,category,content_type,audience,time_status,candidate_user_question,positive_evidence,negative_evidence,possible_duplicate,reason,model,reviewed_at,prompt_version
PUBEXP000001,,清华大学信息化技术中心,https://www.itc.tsinghua.edu.cn/,www.itc.tsinghua.edu.cn,extracted/base/PUBEXP000001_清华大学信息化技术中心.md,2026-08-12T22:02:19+08:00,trafilatura,,detail_content,True,approve,approve,网络与信息化,resource_directory,清华师生,stable,清华大学校园网、信息系统或有线电视出现问题时该联系哪里？服务电话和邮箱是什么？,正文明确给出信息化技术中心承担学校信息化基础设施运行服务、建设开发和用户服务，并列出可直接使用的联系方式：校园网、信息系统服务电话010-62784859（每天08:00-22:00，节假日除外）；有线电视用户服务电话010-62771764、Its@tsinghua.edu.cn（每天08:00-12:00、13:00-17:00，节假日除外）；办公室010-62781357、itc-office@tsinghua.edu.cn。,正文以机构介绍为主，但同时包含明确可用的服务入口与联系方式，未见明显新闻宣传或过期通知。,False,页面提供了清华信息化服务的稳定职能说明和可直接使用的联系电话/邮箱，能够持续回答学生常见的信息化报修与咨询问题，符合可复用校园服务知识条目。,gpt-5.4-mini,2026-08-12T22:08:42+08:00,v2_frozen
PUBEXP000003,,校园网络运行,https://www.itc.tsinghua.edu.cn/ggfwsd/xywlyx.htm,www.itc.tsinghua.edu.cn,extracted/base/PUBEXP000003_校园网络运行.md,2026-08-12T22:02:20+08:00,site_selector,#vsb_content,detail_content,True,approve,approve,网络与信息化,organization_intro,全校师生,stable,校园网络运行服务包括哪些内容？,正文明确列出校园网络运行的服务范围：有线网络接入、无线网络接入、电子邮箱、认证计费、VPN、防病毒软件下载和特征库更新、网络安全事件监测处理、联通固定电话业务等，并说明面向的对象是教学办公区、学生宿舍区和全校师生。,无明显新闻宣传、过期通知或低复用内容；页面主要是稳定的校园网络服务介绍。,False,页面正文直接提供了面向学生可复用的校园网络服务清单与适用范围，属于稳定的校园网络资源导航，可作为知识条目保留。,gpt-5.4-mini,2026-08-12T22:08:42+08:00,v2_frozen
PUBEXP000004,,网络信息安全,https://www.itc.tsinghua.edu.cn/ggfwsd/wlxxaq.htm,www.itc.tsinghua.edu.cn,extracted/base/PUBEXP000004_网络信息安全.md,2026-08-12T22:02:21+08:00,site_selector,#vsb_content,detail_content,True,reject,reject,网络与信息化,organization_intro,全校师生,stable,学校的信息安全保障工作主要包括哪些内容？,正文介绍了信息化安全技术保障团队的职责，明确列出网络信息安全工作包括“保障体系建设、重大活动期间的安全保障、日常信息安全运行”三方面，并说明了安全检查、应急预案、分级保障等工作内容。,正文以机构服务介绍和主要业绩为主，没有提供学生可直接办理的入口、申请流程、联系方式、FAQ、地点时间或具体操作指引；也没有明确可复用的办事规则或稳定服务导航。,False,页面属于信息化安全工作的机构介绍和工作概述，内容可概括但不可直接用于学生办事；缺少可执行入口与流程，按准入规则应拒绝。,gpt-5.4-mini,2026-08-12T22:08:42+08:00,v2_frozen
PUBEXP000005,,用户服务,https://www.itc.tsinghua.edu.cn/ggfwsd/fsdf.htm,www.itc.tsinghua.edu.cn,extracted/base/PUBEXP000005_用户服务.md,2026-08-12T22:02:21+08:00,site_selector,#vsb_content,detail_content,True,approve,approve,网络与信息化,service_entry,全校师生用户,stable,我想申请校园网账号、报修校园网/信息系统问题，应该通过哪些渠道？,正文明确列出信息化用户服务的可用入口和事项：来访服务可处理统一用户及校园网账号申请相关问题、校园网资源使用申请、有线电视办理和软件使用指导；热线服务提供人工电话咨询和报修；在线服务可通过服务邮箱its@tsinghua.edu.cn、服务网站its.tsinghua.edu.cn和企业微信“我要报修”提交问题；还提供上门维修服务。,正文包含“主要业绩”中的接待人数、巡检次数、培训场次等宣传性统计，但不影响前述稳定服务入口的可复用性；无新闻报道或明显过期通知。,False,本页正文直接提供了面向学生和师生可实际使用的信息化服务内容、办理事项与报修渠道，属于可复用的校园办事入口。,gpt-5.4-mini,2026-08-12T22:08:51+08:00,v2_frozen
PUBEXP000006,,教学环境服务,https://www.itc.tsinghua.edu.cn/ggfwsd/dfasf.htm,www.itc.tsinghua.edu.cn,extracted/base/PUBEXP000006_教学环境服务.md,2026-08-12T22:02:21+08:00,site_selector,#vsb_content,detail_content,True,reject,approve,校园生活,organization_intro,师生,stable,教学环境服务主要提供哪些内容？,正文明确列出教学环境支撑服务内容：提供信息化教室、智能化管理控制平台、电子监考巡视系统、直播录播系统、开放实验室等的设计、建设、运行和支撑服务；为师生提供信息化教学环境技术培训和先进教学设备及工具使用推广服务；并说明承担课程录制、直播、线上线下融合式教学、考试电子监考及软硬件服务等。,正文包含“主要业绩”和《现代教育技术》期刊介绍、学术活动宣传，属于机构介绍和成果展示，但不影响其中稳定可用的校园服务信息；未提供具体办理流程、联系人或时效性通知。,False,页面正文直接说明了面向师生可复用的教学环境服务内容、支持范围和服务对象，属于稳定校园服务介绍，适合作为知识条目。,gpt-5.4-mini,2026-08-12T22:08:52+08:00,v2_frozen
PUBEXP000007,,信息资源服务,https://www.itc.tsinghua.edu.cn/ggfwsd/xxzyfw.htm,www.itc.tsinghua.edu.cn,extracted/base/PUBEXP000007_信息资源服务.md,2026-08-12T22:02:22+08:00,site_selector,#vsb_content,detail_content,True,reject,reject,网络与信息化,organization_intro,学校师生，偏内部管理,stable,学校信息资源服务主要包括哪些内容？,正文说明了信息资源服务的主要内容：制定信息资源建设运行方案和技术标准；承担学校信息资源大数据建设、运维、采集整合治理及平台建设维护；为人才培养、科学研究、学科发展提供数据分析服务。,页面以服务介绍、团队分工和主要业绩为主，含“主要业绩”与平台建设成效等宣传性内容；没有提供学生可直接使用的办理流程、申请入口、联系方式、材料清单或明确操作指引，复用价值偏弱。,False,正文主要是信息资源服务的机构介绍和业绩展示，缺少学生可直接执行的办事入口或明确使用流程，难以作为面向学生的可复用知识条目。,gpt-5.4-mini,2026-08-12T22:08:54+08:00,v2_frozen
PUBEXP000009,,图书借还-清华大学图书馆,https://lib.tsinghua.edu.cn/jy/tsjh.htm,lib.tsinghua.edu.cn,extracted/base/PUBEXP000009_图书借还-清华大学图书馆.md,2026-08-12T22:02:21+08:00,trafilatura,,detail_content,True,reject,reject,图书馆服务,mixed,学生,unknown,,无；正文未提供任何可复用的图书借还流程、规则、地点、时间或联系方式，仅出现若干模板占位符与“应用维护中！”等字样。,正文主要是占位符（如“{{...}}”）、“未搜索到结果”、评论区占位以及“应用维护中！”，没有实际的借还说明、操作步骤或服务入口信息，复用价值很低。,False,页面标题指向图书借还，但正文没有可直接使用的借还制度或办理信息，只有模板残留和维护提示，无法回答学生的真实办事问题，因此不适合作为知识条目。,gpt-5.4-mini,2026-08-12T22:09:00+08:00,v2_frozen
PUBEXP000010,,图书馆报告厅-清华大学图书馆,https://lib.tsinghua.edu.cn/kj/tsgbgt.htm,lib.tsinghua.edu.cn,extracted/base/PUBEXP000010_图书馆报告厅-清华大学图书馆.md,2026-08-12T22:02:22+08:00,site_selector,#vsb_content,thin_content,True,approve,approve,图书馆服务,service_entry,学生、校内活动组织者,stable,图书馆报告厅在哪里？怎么预约？联系电话是多少？,正文明确给出报告厅地理位置“西馆（逸夫馆）喷水池东侧建筑的二层”，并提供“预订链接”和“联系电话：62772208”，可直接用于查询与预约。,包含少量历史介绍和2022年修缮说明，但不影响其作为可复用服务入口与位置信息的价值。,False,本页不是新闻宣传，而是清晰的场地服务入口页，提供了可直接使用的地点、预约链接和联系方式，能够稳定回答学生关于图书馆报告厅使用与预约的问题。,gpt-5.4-mini,2026-08-12T22:09:02+08:00,v2_frozen
PUBEXP000011,,清华大学图书馆新生专栏,https://lib.tsinghua.edu.cn/newstudents/,lib.tsinghua.edu.cn,extracted/base/PUBEXP000011_清华大学图书馆新生专栏.md,2026-08-12T22:02:22+08:00,trafilatura,,detail_content,True,approve,approve,图书馆服务,resource_directory,清华大学新生,stable,清华大学图书馆新生有哪些攻略、电子资源、常用功能和入馆/参观相关入口？,正文以“新生专栏”形式汇集了可复用入口和资源链接，包括“图书馆主页常用功能盘点”“你必须知道的电子资源TOP10”“提升信息素养，图书馆课程等你来选！”“pick你最心仪的座位”“馆际互借与文献传递服务（BALIS/CALIS、CASHL篇）”等，能直接帮助新生了解和使用图书馆服务与资源。,正文同时混有迎新活动、参观计划、活动预告等新闻/宣传链接，且有重复条目；但整体仍是面向新生的稳定资源导航页。,False,该页不是单篇新闻，而是图书馆面向新生的专栏导航，正文直接提供可复用的服务入口、资源盘点和使用攻略，能回答学生实际办事与资源获取问题，符合准入。,gpt-5.4-mini,2026-08-12T22:09:06+08:00,v2_frozen
PUBEXP000013,,关于公布2026年暑假图书馆开馆时间的通知-清华大学图书馆,https://lib.tsinghua.edu.cn/info/1071/8118.htm,lib.tsinghua.edu.cn,extracted/base/PUBEXP000013_关于公布2026年暑假图书馆开馆时间的通知-清华大学图书馆.md,2026-08-12T22:02:23+08:00,site_selector,#vsb_content .v_news_content,detail_content,True,review,approve,图书馆服务,current_notice,全校读者,time_sensitive,2026年暑假图书馆什么时候开馆、各分馆开放时间如何安排？,正文明确给出2026年7月6日—8月23日为暑假轮休期，并列出总馆开馆时间：西馆（逸夫馆）、北馆（李文正馆）7月6日-8月23日9:00-17:00，普通阅览室7:30-22:30；同时注明老馆服务台、古籍阅览室7月6日-8月11日暂停服务，并列出馆际互借及各专业图书馆暑假开馆/闭馆安排。,属于时间敏感通知，适用期主要是2026年暑假；部分分馆信息通过外链查看，正文未展开全部细则。,False,正文直接提供学生可复用的图书馆暑假开放时间、暂停服务范围和相关分馆安排，属于明确可执行的校园服务信息，适合收录。,gpt-5.4-mini,2026-08-12T22:09:09+08:00,v2_frozen
