track,sample_id,query,original_evidence_gate,adjudicated_evidence_gate,changed,change_direction,evidence_error_taxonomy,original_primary_failure,adjudicated_primary_failure,originally_counted_as_generation_clean,reconciled_generation_clean,adjudication_note
A,RET-04,清华校医院门诊、报销和就医流程是什么？,EVIDENCE_SUFFICIENT,EVIDENCE_INSUFFICIENT,True,EVIDENCE_SUFFICIENT->EVIDENCE_INSUFFICIENT,WRONG_DOCUMENT,UNSUPPORTED_ADDITION,EVIDENCE_MISUSE,True,False,冻结证据主要来自清华大学玉泉医院/北京华信医院，并非“清华校医院”的门诊、报销和就医流程；答案将其他附属医院科室当作校医院信息，且“报销需咨询财务部门”等未见证据支持。原 Evidence Gate 不应判 sufficient。
A,RET-05,清华大学图书馆如何借书、使用电子资源和查询开放时间？,EVIDENCE_SUFFICIENT,EVIDENCE_SUFFICIENT,False,UNCHANGED,,UNSUPPORTED_ADDITION,TASK_COMPLETION,True,True,冻结证据明确包含借书权限、通还、数据库使用和开放时间，但答案仅输出“1、6、7……”等编号，基本没有回答任务。失败真实存在，但主要是任务完成/输出崩坏，不是 unsupported factual addition。
A,RET-10,体育场馆如何预约、查询开放时间和使用规则？,EVIDENCE_SUFFICIENT,EVIDENCE_PARTIAL,True,EVIDENCE_SUFFICIENT->EVIDENCE_PARTIAL,PARTIAL_COVERAGE,WRONG_REFUSAL,NO_GENERATION_FAILURE,True,False,证据只明确支持“学生清华→场地资源预约→体育场馆预约”，没有开放时间和使用规则。答案对可确认部分作答、对缺失部分保守说明，不能据此判 WRONG_REFUSAL；主要问题是 Evidence Gate 把 partial 误判为 sufficient。
A,PROV-011,清华大学医院能否通过北京114平台预约挂号？,EVIDENCE_SUFFICIENT,EVIDENCE_SUFFICIENT,False,UNCHANGED,,TASK_COMPLETION,CITATION_MISSING,True,True,C1逐字支持“2024年7月1日起与北京114平台直连并可预约挂号”。对“能否”问题，答案已直接、完整回答；原 TASK_COMPLETION 属明显误判。唯一明确缺陷是未附引用。
A,PROV-015,进入清华大学图书馆需要遵守什么入馆管理办法？,EVIDENCE_SUFFICIENT,EVIDENCE_SUFFICIENT,False,UNCHANGED,,UNSUPPORTED_ADDITION,INCOMPLETE,True,True,C1给出了完整14条入馆管理办法，答案前7条基本有据，但在“8.”处截断，明显未完成。原 unsupported addition 未被证据支持；核心问题是截断/不完整和缺引用。
A,PROV-020,国际学生如何区分并查询不同的签证类型？,EVIDENCE_SUFFICIENT,EVIDENCE_SUFFICIENT,False,UNCHANGED,,INCOMPLETE,INCOMPLETE,True,True,证据支持X1、X2的学习时长、有效期/居留许可要求，并另有实习签证信息。答案对X1/X2事实正确，但没有覆盖“如何查询”以及证据中其他签证类型，属于不完整；无明显 unsupported claim。
B,A17,电磁感应定律的物理含义是什么？,EVIDENCE_SUFFICIENT,EVIDENCE_SUFFICIENT,False,UNCHANGED,,INCOMPLETE,NO_GENERATION_FAILURE,True,True,C1直接给出“闭合回路中的感应电动势等于磁通量减小的速率”，答案准确复述且有[C1]。对该问题可视为简洁而完整，原 INCOMPLETE/TASK_COMPLETION 过严。
B,A15,p值和显著性水平应该如何解释？,EVIDENCE_SUFFICIENT,EVIDENCE_PARTIAL,True,EVIDENCE_SUFFICIENT->EVIDENCE_PARTIAL,PARTIAL_COVERAGE,UNSUPPORTED_ADDITION,UNSUPPORTED_ADDITION,True,False,冻结证据主要涉及显著性/第一类错误和多重检验，并未直接提供完整p值定义；答案依赖背景知识补写。且“p<α即原假设不成立”表述过强，应是“拒绝原假设”。因此既有 Evidence Gate 过宽，也有生成层 unsupported/概念表述问题。
B,A08,SVD分解在最小二乘中的作用如何解释？,EVIDENCE_SUFFICIENT,EVIDENCE_INSUFFICIENT,True,EVIDENCE_SUFFICIENT->EVIDENCE_INSUFFICIENT,EVIDENCE_CONTAMINATION,UNSUPPORTED_ADDITION,INCOMPLETE,True,False,冻结证据几乎只有SVD页面导航/标题，没有最小二乘求解内容，Evidence Gate 不应为 sufficient。答案本身循环表述“用SVD简化SVD最小二乘”，没有解释伪逆、奇异值、秩亏/数值稳定性，生成质量也确实较差。
B,A24,单位根检验和协整关系有什么区别？,EVIDENCE_SUFFICIENT,EVIDENCE_PARTIAL,True,EVIDENCE_SUFFICIENT->EVIDENCE_PARTIAL,PARTIAL_COVERAGE,UNSUPPORTED_ADDITION,UNSUPPORTED_ADDITION,True,False,证据只直接覆盖协整/误差修正模型，对单位根检验缺少直接支持。答案概念上基本正确并完成“区别”任务，但“单位根检验用于判断平稳性”等来自证据之外；引用只覆盖协整侧，属于 grounding/citation coverage 问题。
