id,title,source_url,category_hint,local_classification,time_sensitivity,source_markdown_path,reason
PORTAL000001,服务指南,https://93001.tsinghua.edu.cn/ServiceInformation/index.html,校园生活,local_time_sensitive_candidate,high,knowledge/01_raw_portal/PORTAL000001_服务指南.md,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。
PORTAL000002,清华大学党政办信息办公网,https://info.tsinghua.edu.cn/f/info/xxfb_fg/xnzx/template/detail?xxid=42363b582e60e9939006092be81e239b,校园通知,local_time_sensitive_candidate,high,knowledge/01_raw_portal/PORTAL000002_清华大学党政办信息办公网.md,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。
PORTAL000003,清华大学科研办公信息网,https://info.tsinghua.edu.cn/f/info/xxfb_fg/xnzx/template/detail?xxid=95634087412a73fd66d42761f412a63c,校园通知,local_time_sensitive_candidate,high,knowledge/01_raw_portal/PORTAL000003_清华大学科研办公信息网.md,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。
PORTAL000004,信息资讯-国际合作与交流处/港澳台办公室,https://info.tsinghua.edu.cn/f/info/xxfb_fg/xnzx/template/detail?xxid=e58693887c1b91a4017c1b9469640002,校园办事,local_time_sensitive_candidate,high,knowledge/01_raw_portal/PORTAL000004_信息资讯-国际合作与交流处_港澳台办公室.md,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。
PORTAL000005,马耳他（申根） - 清华大学信息门户,https://info.tsinghua.edu.cn/f/info/xxfb_fg/xnzx/template/detail?xxid=2c2c5d76cddc48c584fa87c6e18f7653,校园办事,local_time_sensitive_candidate,high,knowledge/01_raw_portal/PORTAL000005_马耳他（申根） - 清华大学信息门户.md,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。
PORTAL000006,境内延期F字访问签证办事指南 - 清华大学信息门户,https://info.tsinghua.edu.cn/f/info/xxfb_fg/xnzx/template/detail?xxid=954a57c2de9a449bb1d162fb15acc5e5,校园办事,local_time_sensitive_candidate,high,knowledge/01_raw_portal/PORTAL000006_境内延期F字访问签证办事指南 - 清华大学信息门户.md,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。
PORTAL000007,办事程序,https://info.tsinghua.edu.cn/f/info/xxfb_fg/xnzx/template/detail?xxid=e58693887c1b91a4017c1b94a0f20008,校园办事,local_high_value_candidate,medium,knowledge/01_raw_portal/PORTAL000007_办事程序.md,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。
PORTAL000008,清华大学医院,https://info.tsinghua.edu.cn/f/info/xxfb_fg/xnzx/template/detail?xxid=e58693887c1b91a4017c1b9ebee10018,校园生活,local_time_sensitive_candidate,high,knowledge/01_raw_portal/PORTAL000008_清华大学医院.md,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。
PORTAL000009,2025年清华大学后勤技能标兵——房亚哲-清华大学医院,http://xyy.tsinghua.edu.cn/info/1039/6845.htm,校园生活,local_high_value_candidate,medium,knowledge/01_raw_portal/PORTAL000009_2025年清华大学后勤技能标兵——房亚哲-清华大学医院.md,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。
PORTAL000010,2025年清华大学后勤服务标兵——李英男-清华大学医院,http://xyy.tsinghua.edu.cn/info/1039/6844.htm,校园生活,local_high_value_candidate,medium,knowledge/01_raw_portal/PORTAL000010_2025年清华大学后勤服务标兵——李英男-清华大学医院.md,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。
PORTAL000011,2024年清华大学后勤服务标兵--申艳霞-清华大学医院,http://xyy.tsinghua.edu.cn/info/1039/6501.htm,校园生活,local_high_value_candidate,medium,knowledge/01_raw_portal/PORTAL000011_2024年清华大学后勤服务标兵--申艳霞-清华大学医院.md,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。
PORTAL000012,校医院-清华大学医院,http://xyy.tsinghua.edu.cn/info/1040/5762.htm,校园生活,local_reject_candidate,medium,knowledge/01_raw_portal/PORTAL000012_校医院-清华大学医院.md,明确属于低价值人物/科研/活动宣传候选，建议人工确认后排除。
PORTAL000013,校医院开展爱眼日义诊活动-清华大学医院,http://xyy.tsinghua.edu.cn/info/1042/6882.htm,校园生活,local_reject_candidate,high,knowledge/01_raw_portal/PORTAL000013_校医院开展爱眼日义诊活动-清华大学医院.md,明确属于低价值人物/科研/活动宣传候选，建议人工确认后排除。
PORTAL000014,2023年度校级先进工作者——聂庆东-清华大学医院,http://xyy.tsinghua.edu.cn/info/1039/6853.htm,校园生活,local_high_value_candidate,medium,knowledge/01_raw_portal/PORTAL000014_2023年度校级先进工作者——聂庆东-清华大学医院.md,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。
PORTAL000015,疫苗接种-清华大学医院,http://xyy.tsinghua.edu.cn/ymjz.htm,校园生活,local_high_value_candidate,medium,knowledge/01_raw_portal/PORTAL000015_疫苗接种-清华大学医院.md,包含校园公共服务或办事信息；Portal原文不外发，进入人工复核。
