id,title,url,source_domain,crawl_time,action,category,content_type,audience,time_status,candidate_user_question,positive_evidence,negative_evidence,possible_duplicate,reason,human_action,human_category,human_note
PUBEXP000022,清华大学法律图书馆,https://lib.tsinghua.edu.cn/law/index.htm,lib.tsinghua.edu.cn,2026-08-12T19:51:08+08:00,approve,图书馆服务,mixed,清华师生，尤其法学相关读者,time_sensitive,法律图书馆暑假什么时候开馆？闭馆期间能否预约借书？,正文明确给出法律图书馆暑假轮休与开馆安排（2026年7月6日—8月23日轮休，8月24日起恢复正常开馆），并说明闭馆期间提供预约书服务；同时说明其作为清华大学法学学术资源与信息服务中心，为全校师生教学科研提供支持。,页面还包含馆藏展出、特藏文献与数据库介绍，部分内容偏资源宣传，但不影响其提供可直接使用的图书馆服务信息。,False,本页不仅是介绍性页面，还直接提供了学生可用的图书馆开馆时间和闭馆预约书服务等明确办事/服务入口，且属于稳定校园资源导航，符合准入。,,,
PUBEXP000169,全国报刊索引-中国近代报纸资源全库开通试用(2026年1月5日-2026年4月5日)（试用延长至2026年12月31日）-清华大学图书馆,https://lib.tsinghua.edu.cn/info/1077/7865.htm,lib.tsinghua.edu.cn,2026-08-12T20:02:33+08:00,approve,图书馆服务,current_notice,清华学生与读者,current,全国报刊索引-中国近代报纸资源全库试用到什么时候？如果使用有问题该联系谁？,正文标题明确写明“全国报刊索引-中国近代报纸资源全库开通试用(2026年1月5日-2026年4月5日)（试用延长至2026年12月31日）”；正文还给出咨询电话62782137、邮件ref-desk@tsinghua.edu.cn、当面咨询地点“北馆一层总服务台”，以及服务时间“周一至周日 8:00-22:00”。,"正文除试用标题和咨询方式外，内容非常简略，仅有“试用”“相关参照”“读取内容中,请等待...”，没有进一步的资源说明、访问路径或使用指南。",False,这是图书馆资源试用通知，能直接告诉学生该数据库的试用期限已延长到2026年12月31日，并提供明确咨询入口与服务时间，属于可复用的校园资源信息。,,,
PUBEXP000131,概况,https://lib.tsinghua.edu.cn/arts/gk/lsyg.htm,lib.tsinghua.edu.cn,2026-08-12T19:57:47+08:00,approve,图书馆服务,organization_intro,全校师生，尤其美术学院学生,stable,清华大学美术图书馆能提供哪些借阅和自助服务？,正文明确写到：美术图书馆“面向全校师生提供文献借阅综合服务”；“为美术学院的教学和科研提供丰富的各类艺术资源支撑”；“馆内设有多种自助设备，提供自助文印、自助借书等服务”。,正文包含较多馆史与馆藏规模介绍（如始建时间、迁入时间、面积、馆藏册数等），但不影响其作为稳定校园服务资源条目的可用性。,False,本页不仅是概况介绍，还直接给出面向师生的文献借阅与自助借书、自助文印等可复用服务信息，属于稳定可用的图书馆资源条目，可用于学生查询校园图书馆服务。,,,
PUBEXP000089,科室职能,https://peace.tsinghua.edu.cn/bmgk/kszn.htm,peace.tsinghua.edu.cn,2026-08-12T19:54:52+08:00,approve,校园基本信息,organization_intro,师生员工,stable,保卫处/平安清华相关科室主要负责哪些校园安全和办事服务？,正文明确列出多项可用服务与职责，包括：为师生员工办理政审及相关申请手续；“平安清华”网络平台维护；校园机动车通行证管理和停车场统筹管理；学校集体户口管理与服务、协助办理集体户口和身份证相关事务；校园安全与法治宣传教育培训；消防报备审核；校园治安管理与交通秩序管理等。,无新闻报道、宣传回顾或时效性通知，页面为部门职能说明，未提供具体流程、材料或联系方式。,False,页面正文是稳定的部门职能介绍，直接列出师生可办理或咨询的校园安全、户口、身份证、车辆通行证等服务范围，具有明确可复用的校园办事价值，适合入库。,,,
PUBEXP000001,清华大学信息化技术中心,https://www.itc.tsinghua.edu.cn/,www.itc.tsinghua.edu.cn,2026-08-12T19:50:24+08:00,approve,网络与信息化,organization_intro,全校师生,stable,清华大学校园网、信息系统或有线电视出现问题时该联系谁？,正文明确说明信息化技术中心承担学校信息化基础设施、信息系统、教学资源和重大活动现场信息化支持等服务，并给出校园网/信息系统服务电话010-62784859（每天08:00-22:00，节假日除外）、有线电视用户服务电话010-62771764、办公室电话010-62781357及邮箱等可直接使用的联系入口。,页面主要是机构职能介绍，没有具体办事流程、申请材料或政策细则；但其服务联系方式明确且可复用。,False,正文提供了稳定可用的校园信息化服务职责与联系方式，能直接回答学生常见的网络/系统报修与咨询问题，符合准入。,,,
PUBEXP000008,热门排序-清华大学图书馆,https://lib.tsinghua.edu.cn/fwbl/rmpx.htm,lib.tsinghua.edu.cn,2026-08-12T19:50:31+08:00,approve,图书馆服务,resource_directory,清华学生及读者,stable,清华大学图书馆的咨询电话、服务时间和当面咨询地点是什么？,正文提供了图书馆服务入口与联系方式：智能问答；咨询电话62782137，服务时间周一至周日8:00-22:00；邮箱ref-desk@tsinghua.edu.cn；当面咨询地点北馆一层总服务台，联系电话010-62788937，服务时间周一至周日8:00-22:00；并列出借阅、资源、空间、学习支持、科研支持等稳定栏目入口。,无明显新闻、宣传或过期通知内容，主体是图书馆服务导航与联系方式。,False,本页正文可直接回答学生常见的图书馆咨询、服务时间、地点和相关服务入口问题，属于稳定可复用的校园服务资源导航，适合入库。,,,
PUBEXP000010,图书馆报告厅-清华大学图书馆,https://lib.tsinghua.edu.cn/kj/tsgbgt.htm,lib.tsinghua.edu.cn,2026-08-12T19:50:34+08:00,approve,图书馆服务,service_entry,清华师生及校内用户,stable,图书馆报告厅在哪里？怎么预订？联系电话是多少？,正文明确给出图书馆报告厅的用途与位置：位于西馆（逸夫馆）与老馆连接处，地理位置写明为“西馆（逸夫馆）喷水池东侧建筑的二层”；同时提供“预订链接：https://lib.tsinghua.edu.cn/tjfw/bgthhyssq.htm”和联系电话“62772208”。,无明显新闻、宣传或过期通知内容，主要是可直接使用的空间与预约信息。,False,页面提供图书馆报告厅的具体位置、预约入口和联系电话，属于可直接复用的校园空间服务信息，能稳定回答学生的实际办事问题，符合准入。,,,
PUBEXP000021,常见问题（FAQ）,https://lib.tsinghua.edu.cn/finance/gk/cjwt_FAQ_.htm,lib.tsinghua.edu.cn,2026-08-12T19:51:07+08:00,approve,图书馆服务,faq,清华师生,stable,金融图书馆的开放时间、入馆证件、借书权限和数据库使用规则是什么？,正文以FAQ形式直接给出金融图书馆开放时间、适用对象、入馆证件、借书权限开通方式、通还规则、期刊借阅限制、地下书库预约借还、24小时还书窗口、数据库使用与咨询联系方式等可复用信息。,无明显新闻、宣传或过期资料；内容为稳定服务说明与常见问题解答。,False,本页是金融图书馆面向师生的常见问题页，提供明确可执行的开放时间、入馆、借还书、数据库和联系方式等长期可复用服务信息，符合准入。,,,
PUBEXP000023,服务,https://lib.tsinghua.edu.cn/arts/fw/jygz.htm,lib.tsinghua.edu.cn,2026-08-12T19:51:33+08:00,approve,图书馆服务,procedure_guide,美术图书馆读者,stable,美术图书馆怎么借书、还书、预约闭架图书和缴纳逾期费用？,正文明确给出借还规则、借书地点（读者服务台、自助借书机）、预约外借流程（通过“水木搜索”预约、系统通知取书）、续借方式、通还服务、借阅数量与期限、逾期费用标准、在线/线下缴费方式、遗失赔偿手续地点，以及文印服务时间和电话。,无明显新闻宣传、活动回顾或过期通知，内容以可直接执行的借阅办事规则和服务入口为主。,False,本页是美术图书馆的稳定服务说明页，正文直接提供学生/读者可复用的借还书、预约、续借、缴费和文印等办事流程与规则，符合准入。,,,
PUBEXP000141,图书借还,https://lib.tsinghua.edu.cn/finance/fw/tsjh.htm,lib.tsinghua.edu.cn,2026-08-12T19:58:12+08:00,approve,图书馆服务,policy,全校师生读者,stable,清华大学金融图书馆的图书怎么借还、可借多少本、如何预约和续借？,正文明确给出图书借还规则：金融图书馆面向全校开放借阅；列出不同读者类型的借书总量、预约册数、借期和续借规则；说明可在“水木搜索”系统提交预约、如何收到取书通知；说明可自行网上续借、逾期罚款标准、遗失赔偿、还书地点、咨询电话和24小时还书窗口使用办法。,无明显新闻、宣传或过期失效信息；正文以可执行的借还规则和服务说明为主。,False,本页正文直接提供清华大学金融图书馆图书借还、预约、续借、催还、罚款、赔偿和联系方式等可复用办事规则，属于稳定的学生可用服务知识条目，适合准入。,,,
