sample_id,original_gate,v0_1_gate,changed,reason_codes
RET-01,EVIDENCE_SUFFICIENT,EVIDENCE_UNKNOWN,True,EVIDENCE_PARSE_FAILURE|FROZEN_EVIDENCE_NOT_AVAILABLE
RET-02,EVIDENCE_SUFFICIENT,EVIDENCE_UNKNOWN,True,EVIDENCE_PARSE_FAILURE|FROZEN_EVIDENCE_NOT_AVAILABLE
RET-03,EVIDENCE_SUFFICIENT,EVIDENCE_UNKNOWN,True,EVIDENCE_PARSE_FAILURE|FROZEN_EVIDENCE_NOT_AVAILABLE
RET-06,EVIDENCE_SUFFICIENT,EVIDENCE_UNKNOWN,True,EVIDENCE_PARSE_FAILURE|FROZEN_EVIDENCE_NOT_AVAILABLE
RET-07,EVIDENCE_SUFFICIENT,EVIDENCE_UNKNOWN,True,EVIDENCE_PARSE_FAILURE|FROZEN_EVIDENCE_NOT_AVAILABLE
RET-08,EVIDENCE_SUFFICIENT,EVIDENCE_UNKNOWN,True,EVIDENCE_PARSE_FAILURE|FROZEN_EVIDENCE_NOT_AVAILABLE
RET-09,EVIDENCE_INSUFFICIENT,EVIDENCE_UNKNOWN,True,EVIDENCE_PARSE_FAILURE|FROZEN_EVIDENCE_NOT_AVAILABLE
PROV-001,EVIDENCE_SUFFICIENT,EVIDENCE_UNKNOWN,True,EVIDENCE_PARSE_FAILURE|FROZEN_EVIDENCE_NOT_AVAILABLE
PROV-002,EVIDENCE_SUFFICIENT,EVIDENCE_UNKNOWN,True,EVIDENCE_PARSE_FAILURE|FROZEN_EVIDENCE_NOT_AVAILABLE
PROV-003,EVIDENCE_INSUFFICIENT,EVIDENCE_UNKNOWN,True,EVIDENCE_PARSE_FAILURE|FROZEN_EVIDENCE_NOT_AVAILABLE
PROV-004,EVIDENCE_SUFFICIENT,EVIDENCE_UNKNOWN,True,EVIDENCE_PARSE_FAILURE|FROZEN_EVIDENCE_NOT_AVAILABLE
PROV-005,EVIDENCE_SUFFICIENT,EVIDENCE_UNKNOWN,True,EVIDENCE_PARSE_FAILURE|FROZEN_EVIDENCE_NOT_AVAILABLE
PROV-006,EVIDENCE_SUFFICIENT,EVIDENCE_UNKNOWN,True,EVIDENCE_PARSE_FAILURE|FROZEN_EVIDENCE_NOT_AVAILABLE
PROV-007,EVIDENCE_SUFFICIENT,EVIDENCE_UNKNOWN,True,EVIDENCE_PARSE_FAILURE|FROZEN_EVIDENCE_NOT_AVAILABLE
PROV-008,EVIDENCE_SUFFICIENT,EVIDENCE_UNKNOWN,True,EVIDENCE_PARSE_FAILURE|FROZEN_EVIDENCE_NOT_AVAILABLE
PROV-009,EVIDENCE_INSUFFICIENT,EVIDENCE_UNKNOWN,True,EVIDENCE_PARSE_FAILURE|FROZEN_EVIDENCE_NOT_AVAILABLE
PROV-010,EVIDENCE_SUFFICIENT,EVIDENCE_UNKNOWN,True,EVIDENCE_PARSE_FAILURE|FROZEN_EVIDENCE_NOT_AVAILABLE
PROV-012,EVIDENCE_SUFFICIENT,EVIDENCE_UNKNOWN,True,EVIDENCE_PARSE_FAILURE|FROZEN_EVIDENCE_NOT_AVAILABLE
PROV-013,EVIDENCE_SUFFICIENT,EVIDENCE_UNKNOWN,True,EVIDENCE_PARSE_FAILURE|FROZEN_EVIDENCE_NOT_AVAILABLE
PROV-014,EVIDENCE_SUFFICIENT,EVIDENCE_UNKNOWN,True,EVIDENCE_PARSE_FAILURE|FROZEN_EVIDENCE_NOT_AVAILABLE
