track,sample_id,evidence_gate,refused,original_refusal_label,reconciled_refusal_label,reason
A,RET-01,EVIDENCE_SUFFICIENT,False,NONE,NO_REFUSAL_LABEL,Original proxy unreviewed
A,RET-02,EVIDENCE_SUFFICIENT,False,NONE,NO_REFUSAL_LABEL,Original proxy unreviewed
A,RET-03,EVIDENCE_SUFFICIENT,False,NONE,NO_REFUSAL_LABEL,Original proxy unreviewed
A,RET-04,EVIDENCE_INSUFFICIENT,False,NONE,NO_REFUSAL_LABEL,冻结证据主要来自清华大学玉泉医院/北京华信医院，并非“清华校医院”的门诊、报销和就医流程；答案将其他附属医院科室当作校医院信息，且“报销需咨询财务部门”等未见证据支持。原 Evidence Gate 不应判 sufficient。
A,RET-05,EVIDENCE_SUFFICIENT,False,NONE,NO_REFUSAL_LABEL,冻结证据明确包含借书权限、通还、数据库使用和开放时间，但答案仅输出“1、6、7……”等编号，基本没有回答任务。失败真实存在，但主要是任务完成/输出崩坏，不是 unsupported factual addition。
A,RET-06,EVIDENCE_SUFFICIENT,False,NONE,NO_REFUSAL_LABEL,Original proxy unreviewed
A,RET-07,EVIDENCE_SUFFICIENT,False,NONE,NO_REFUSAL_LABEL,Original proxy unreviewed
A,RET-08,EVIDENCE_SUFFICIENT,False,NONE,NO_REFUSAL_LABEL,Original proxy unreviewed
A,RET-09,EVIDENCE_INSUFFICIENT,True,NONE,NO_REFUSAL_LABEL,Original proxy unreviewed
A,RET-10,EVIDENCE_PARTIAL,True,WRONG_REFUSAL,CORRECT_REFUSAL,证据只明确支持“学生清华→场地资源预约→体育场馆预约”，没有开放时间和使用规则。答案对可确认部分作答、对缺失部分保守说明，不能据此判 WRONG_REFUSAL；主要问题是 Evidence Gate 把 partial 误判为 sufficient。
A,PROV-001,EVIDENCE_SUFFICIENT,False,NONE,NO_REFUSAL_LABEL,Original proxy unreviewed
A,PROV-002,EVIDENCE_SUFFICIENT,False,NONE,NO_REFUSAL_LABEL,Original proxy unreviewed
A,PROV-003,EVIDENCE_INSUFFICIENT,False,FAILED_REFUSAL,FAILED_REFUSAL_PROXY_UNREVIEWED,Original proxy unreviewed
A,PROV-004,EVIDENCE_SUFFICIENT,False,NONE,NO_REFUSAL_LABEL,Original proxy unreviewed
A,PROV-005,EVIDENCE_SUFFICIENT,False,NONE,NO_REFUSAL_LABEL,Original proxy unreviewed
A,PROV-006,EVIDENCE_SUFFICIENT,False,NONE,NO_REFUSAL_LABEL,Original proxy unreviewed
A,PROV-007,EVIDENCE_SUFFICIENT,False,NONE,NO_REFUSAL_LABEL,Original proxy unreviewed
A,PROV-008,EVIDENCE_SUFFICIENT,False,NONE,NO_REFUSAL_LABEL,Original proxy unreviewed
A,PROV-009,EVIDENCE_INSUFFICIENT,False,FAILED_REFUSAL,FAILED_REFUSAL_PROXY_UNREVIEWED,Original proxy unreviewed
A,PROV-010,EVIDENCE_SUFFICIENT,False,NONE,NO_REFUSAL_LABEL,Original proxy unreviewed
A,PROV-011,EVIDENCE_SUFFICIENT,False,NONE,NO_REFUSAL_LABEL,C1逐字支持“2024年7月1日起与北京114平台直连并可预约挂号”。对“能否”问题，答案已直接、完整回答；原 TASK_COMPLETION 属明显误判。唯一明确缺陷是未附引用。
