id,title,url,source_domain,crawl_time,action,category,content_type,audience,time_status,candidate_user_question,positive_evidence,negative_evidence,possible_duplicate,reason
PUBEXP000013,关于公布2026年暑假图书馆开馆时间的通知-清华大学图书馆,https://lib.tsinghua.edu.cn/info/1071/8118.htm,lib.tsinghua.edu.cn,2026-08-12T19:51:00+08:00,review,图书馆服务,current_notice,清华学生,time_sensitive,,正文可见“开馆通知”“相关参照”，并提供咨询电话62782137、邮件ref-desk@tsinghua.edu.cn、当面咨询地点北馆一层总服务台及服务时间8:00-22:00等服务入口信息。,"正文未展示2026年暑假具体开馆时间安排，主要是导航栏目、咨询方式和“读取内容中,请等待...”的加载提示；缺少可直接复用的实际开馆规则/日期/馆区信息。",False,页面标题指向暑假开馆通知，但正文中未能看到具体开馆时间，只有咨询入口和加载提示，无法确认是否形成可用的学生办事知识条目，故需复核。
PUBEXP000030,2026年图书馆接收毕业生赠书通知-清华大学图书馆,https://lib.tsinghua.edu.cn/info/1073/8106.htm,lib.tsinghua.edu.cn,2026-08-12T19:52:05+08:00,review,图书馆服务,current_notice,毕业生/全体师生,time_sensitive,,正文中可见图书馆咨询与联系渠道：咨询电话62782137、服务时间周一至周日8:00-22:00、邮件ref-desk@tsinghua.edu.cn、北馆一层总服务台当面咨询等，可作为图书馆服务入口信息。,"页面正文主体未实际展开，只有“读取内容中,请等待...”及通用导航，未出现“接收毕业生赠书通知”的具体办理流程、时间、地点、条件或材料，无法确认是否存在可直接复用的学生办事信息。",False,标题指向具体通知，但正文缺失，现有内容仅是通用图书馆联系与导航信息，无法从正文确认该赠书通知的可执行办事细节；因此只能审慎列为review。
PUBEXP000061,清华大学图书馆参观接待管理办法-清华大学图书馆,https://lib.tsinghua.edu.cn/info/1114/2614.htm,lib.tsinghua.edu.cn,2026-08-12T19:54:04+08:00,review,图书馆服务,mixed,校内访客及接待组织者,stable,,页面正文可见《清华大学图书馆参观接待管理办法》条目，且提供了图书馆咨询电话62782137、邮件ref-desk@tsinghua.edu.cn、当面咨询地点北馆一层总服务台及服务时间（周一至周日8:00-22:00）等可用联系信息。,正文未展示该《管理办法》的具体条款、申请/接待流程、资格条件、材料、限制或可执行规则，主体内容更像规章目录/导航而非完整知识条目。,False,页面标题指向参观接待管理办法，但抓取到的正文只有栏目导航、相关规章链接和咨询方式，没有可直接复用的具体制度内容；信息价值存在但证据不足，适合复核。
PUBEXP000074,关于西馆从游空间和一层报刊阅览区改造施工的通知-清华大学图书馆,https://lib.tsinghua.edu.cn/info/1072/8142.htm,lib.tsinghua.edu.cn,2026-08-12T19:54:34+08:00,review,图书馆服务,current_notice,清华学生与图书馆读者,unknown,,页面标题明确为“关于西馆从游空间和一层报刊阅览区改造施工的通知”，且归在“施工维修”栏目，表明主题是图书馆空间改造通知。,"正文内容未实际展开，仅显示“读取内容中,请等待...”以及通用导航、咨询电话、邮箱和服务台信息，没有给出施工时间、影响范围、替代安排或具体可执行信息，复用价值不足。",False,这是施工通知类页面，但当前抓取到的正文缺失，无法确认其中是否包含学生可直接使用的施工安排、时间和影响说明；仅凭标题和通用联系信息不足以准入，故判为review。
PUBEXP000076,East View斯大林数字化档案数据库开通试用（2026年7月14日-2026年9月8日）-清华大学图书馆,https://lib.tsinghua.edu.cn/info/1077/8143.htm,lib.tsinghua.edu.cn,2026-08-12T19:54:35+08:00,review,图书馆服务,current_notice,清华师生,time_sensitive,我想咨询清华大学图书馆数据库试用或资源访问问题，应该联系谁？,正文包含可直接使用的图书馆咨询入口：智能问答、咨询电话62782137、邮箱ref-desk@tsinghua.edu.cn、当面咨询地点北馆一层总服务台及联系电话010-62788937，服务时间为周一至周日8:00-22:00。,"正文主体未展示具体数据库试用内容，只有“读取内容中,请等待...”及通用导航；页面以试用通知形式出现，但缺少该试用资源的名称、访问方式、适用范围等可复用细节。",False,页面可确认提供图书馆咨询联系方式，属于可用校园服务入口；但关于“East View斯大林数字化档案数据库”的核心试用信息在正文中缺失，无法判断其具体可用性与操作流程，因此仅能审慎标记为review。
PUBEXP000078,BOA非洲研究三个子库开通试用(2026年6月12日-2026年8月9日)-清华大学图书馆,https://lib.tsinghua.edu.cn/info/1077/8098.htm,lib.tsinghua.edu.cn,2026-08-12T19:54:37+08:00,review,图书馆服务,current_notice,清华师生,time_sensitive,,正文可见“试用”栏目页面，并提供图书馆咨询渠道：智能问答、咨询电话62782137、邮箱ref-desk@tsinghua.edu.cn、北馆一层总服务台及服务时间等，可作为联系图书馆的入口。,正文未给出BOA非洲研究三个子库的具体名称、试用访问方式、适用范围、使用说明或资源简介；页面主体几乎为空，实际试用期限与资源信息主要只出现在标题中，正文可复用信息不足。,False,这是图书馆资源试用通知，但正文缺少可直接复用的资源详情和使用说明，无法确认是否为稳定可用的学生知识条目，故仅能复核。
PUBEXP000080,活动日历-清华大学图书馆,https://lib.tsinghua.edu.cn/hdrl.htm,lib.tsinghua.edu.cn,2026-08-12T19:54:39+08:00,review,图书馆服务,mixed,清华学生,outdated,清华大学图书馆的咨询电话、服务时间和现场咨询地点是什么？,正文底部提供了可直接使用的图书馆咨询入口：智能问答、咨询电话62782137、服务时间周一至周日8:00-22:00、邮箱ref-desk@tsinghua.edu.cn、当面咨询地点北馆一层总服务台及联系电话010-62788937；同时页面还列出借阅、资源、空间、学习支持、科研支持等栏目入口。,页面主体是“活动日历”，列出多条按日期排列的活动/讲座信息，且抓取时最新条目集中在2026年4月至7月，属于已过去的活动日历内容，时效性强、复用性一般；页面整体为栏目聚合页，服务入口与活动信息混杂。,False,本页包含可直接使用的图书馆咨询联系方式和服务时间，具备一定学生服务入口价值；但主体是已过期的活动日历，页面以聚合和活动记录为主，稳定知识价值与入口价值不够纯粹，故判为review。
PUBEXP000087,清华大学图书馆维护知识产权声明-清华大学图书馆,https://lib.tsinghua.edu.cn/info/1115/2624.htm,lib.tsinghua.edu.cn,2026-08-12T19:54:50+08:00,review,图书馆服务,resource_directory,清华学生、读者,stable,图书馆与知识产权相关的规章、咨询电话和咨询方式是什么？,正文包含图书馆“科研支持”下的“知识产权”“开放科学”“投稿导引”等稳定入口；并给出咨询电话62782137、服务时间周一至周日8:00-22:00、邮箱ref-desk@tsinghua.edu.cn，以及当面咨询地点北馆一层总服务台和联系电话010-62788937。,正文没有展开“维护知识产权声明”的具体条款内容，主要是栏目导航和相关制度链接列表，知识产权声明本体未在页面正文中直接呈现，信息复用性受限。,False,页面可稳定提供图书馆知识产权相关入口与咨询方式，但正文缺少声明正文和可直接执行的具体规则，只是规章栏目页与链接目录，适合作为导航资源，暂不能视为完整知识条目，故判为review。
PUBEXP000090,通知公告,https://peace.tsinghua.edu.cn/tzgg.htm,peace.tsinghua.edu.cn,2026-08-12T19:54:53+08:00,review,校园生活,mixed,师生及来访人员,current,临时出入校园人员报备、校园参观预约或校园车证办理在哪里进入？,正文中明确列出“业务专栏”入口，包括“校园参观预约、校园车证办理、来访车辆预约、校内预约停车、临时出入校园 人员报备”，属于可复用的校园办事/资源导航。,页面主体是“通知公告”列表，内容多为“安全生产月、消防宣传月、国家安全教育日”等专题通知与活动公告，缺少具体办理流程、材料、条件、时限等可直接执行信息；服务入口与宣传通知混杂，入口价值需进一步确认。,False,本页兼具稳定业务入口和大量通知公告，但正文未展开具体办事流程，且以通知列表为主，属于混合型栏目页，先按 review 处理。
PUBEXP000105,关于公布2025～2026学年度春季学期部分节假日图书馆开馆时间的通知-清华大学图书馆,https://lib.tsinghua.edu.cn/info/1071/7925.htm,lib.tsinghua.edu.cn,2026-08-12T19:56:40+08:00,review,图书馆服务,current_notice,清华学生与读者,outdated,2025～2026学年度春季学期部分节假日图书馆具体什么时候开馆、开放到几点？,页面正文中可见图书馆咨询与服务入口信息，包括“智能问答”“咨询电话：62782137”“服务时间：周一至周日 8:00-22:00”“当面咨询：服务地点：北馆一层总服务台，联系电话：010-62788937”“请发送邮件至 ref-desk@tsinghua.edu.cn”。,"正文未实际展开公布的节假日开馆时间，出现“读取内容中,请等待...”说明核心通知内容未抓到；且标题指向2025～2026学年度春季学期，按抓取时间看已明显过期，复用价值有限。",False,这是图书馆开馆通知页，但正文核心开馆安排未能读取，只剩通用咨询入口；由于无法从正文确认具体开馆时间与执行细则，且标题所示学期已过，适合审慎复核而非直接入库。
