id,model,prompt_tokens,completion_tokens,total_tokens,reviewed_at
THU000029,gpt-5.4-mini,1144,330,1474,2026-08-09T20:50:32+08:00
THU000095,gpt-5.4-mini,1372,372,1744,2026-08-09T20:50:39+08:00
THU000027,gpt-5.4-mini,1764,463,2227,2026-08-09T20:50:46+08:00
THU000010,gpt-5.4-mini,2133,308,2441,2026-08-09T20:50:54+08:00
THU000028,gpt-5.4-mini,4265,380,4645,2026-08-09T20:51:01+08:00
THU000092,gpt-5.4-mini,1293,327,1620,2026-08-09T20:51:07+08:00
THU000093,gpt-5.4-mini,1425,270,1695,2026-08-09T20:51:14+08:00
THU000036,gpt-5.4-mini,2248,571,2819,2026-08-09T20:51:28+08:00
THU000074,gpt-5.4-mini,1364,523,1887,2026-08-09T20:51:37+08:00
THU000091,gpt-5.4-mini,1536,517,2053,2026-08-09T20:51:46+08:00
THU000047,gpt-5.4-mini,4290,538,4828,2026-08-09T20:51:56+08:00
THU000003,gpt-5.4-mini,1597,544,2141,2026-08-09T20:52:05+08:00
THU000049,gpt-5.4-mini,1958,459,2417,2026-08-09T20:52:15+08:00
THU000013,gpt-5.4-mini,1618,374,1992,2026-08-09T20:52:22+08:00
THU000030,gpt-5.4-mini,1135,366,1501,2026-08-09T20:52:29+08:00
THU000005,gpt-5.4-mini,3596,425,4021,2026-08-09T20:52:37+08:00
THU000046,gpt-5.4-mini,2721,493,3214,2026-08-09T20:52:48+08:00
THU000022,gpt-5.4-mini,1111,445,1556,2026-08-09T20:52:56+08:00
THU000048,gpt-5.4-mini,1871,319,2190,2026-08-09T20:53:03+08:00
THU000023,gpt-5.4-mini,1154,396,1550,2026-08-09T20:53:10+08:00
THU000031,gpt-5.4-mini,1206,463,1669,2026-08-09T20:53:19+08:00
THU000001,gpt-5.4-mini,2086,522,2608,2026-08-09T20:53:35+08:00
THU000032,gpt-5.4-mini,1395,480,1875,2026-08-09T20:53:43+08:00
THU000002,gpt-5.4-mini,1077,387,1464,2026-08-09T20:53:50+08:00
THU000033,gpt-5.4-mini,1127,309,1436,2026-08-09T20:53:56+08:00
THU000054,gpt-5.4-mini,2821,385,3206,2026-08-09T20:54:03+08:00
THU000064,gpt-5.4-mini,1242,375,1617,2026-08-09T20:54:12+08:00
THU000004,gpt-5.4-mini,1027,329,1356,2026-08-09T20:54:18+08:00
THU000055,gpt-5.4-mini,1895,611,2506,2026-08-09T20:54:28+08:00
THU000024,gpt-5.4-mini,1129,347,1476,2026-08-09T20:54:40+08:00
