id,title,url,source_domain,crawl_time,action,category,content_type,audience,time_status,candidate_user_question,positive_evidence,negative_evidence,possible_duplicate,reason
PUBEXP000001,清华大学信息化技术中心,https://www.itc.tsinghua.edu.cn/,www.itc.tsinghua.edu.cn,2026-08-12T19:50:24+08:00,approve,网络与信息化,organization_intro,全校师生,stable,清华大学校园网、信息系统或有线电视出现问题时该联系谁？,正文明确说明信息化技术中心承担学校信息化基础设施、信息系统、教学资源和重大活动现场信息化支持等服务，并给出校园网/信息系统服务电话010-62784859（每天08:00-22:00，节假日除外）、有线电视用户服务电话010-62771764、办公室电话010-62781357及邮箱等可直接使用的联系入口。,页面主要是机构职能介绍，没有具体办事流程、申请材料或政策细则；但其服务联系方式明确且可复用。,False,正文提供了稳定可用的校园信息化服务职责与联系方式，能直接回答学生常见的网络/系统报修与咨询问题，符合准入。
PUBEXP000003,校园网络运行,https://www.itc.tsinghua.edu.cn/ggfwsd/xywlyx.htm,www.itc.tsinghua.edu.cn,2026-08-12T19:50:26+08:00,approve,网络与信息化,service_entry,全校师生，含学生,stable,校园网有哪些服务？学生如何使用有线/无线网络、邮箱、VPN和上网认证计费服务？,正文明确列出校园网络运行服务内容，包括有线网络接入、无线网络接入、电子邮箱、认证计费、VPN、防病毒软件下载与更新、网络安全事件监测处理等，且说明面向教学办公区和学生宿舍区师生用户提供服务。,正文后半部分包含“主要业绩”式的运维成果展示和图片说明，但不影响前文提供的可复用服务信息；未见明显过期通知。,False,本页不是新闻宣传，而是校园网络运行服务的稳定介绍页，正文直接给出学生可用的网络、邮箱、VPN、认证计费等服务入口与范围，具备长期复用价值，应予准入。
PUBEXP000005,用户服务,https://www.itc.tsinghua.edu.cn/ggfwsd/fsdf.htm,www.itc.tsinghua.edu.cn,2026-08-12T19:50:28+08:00,approve,网络与信息化,service_entry,全校师生,stable,我遇到校园网、信息系统或正版软件问题时，可以通过哪些渠道咨询或报修？,正文明确列出信息化用户服务的可用入口与流程：接待来访可处理统一用户及校园网账号申请相关问题；热线服务提供7*14小时人工热线；在线服务可通过服务邮箱its@tsinghua.edu.cn、服务网站its.tsinghua.edu.cn以及企业微信“信息化服务—服务支持—我要报修”提交问题；还提供上门维修服务。,正文后半部分是主要业绩与服务量统计，属于宣传性概述，但不影响前述可复用的服务入口信息。,False,本页正文直接提供了面向学生可长期使用的信息化服务入口、咨询渠道、报修方式和上门服务说明，属于稳定可复用的校园办事知识条目，符合准入。
PUBEXP000008,热门排序-清华大学图书馆,https://lib.tsinghua.edu.cn/fwbl/rmpx.htm,lib.tsinghua.edu.cn,2026-08-12T19:50:31+08:00,approve,图书馆服务,resource_directory,清华学生及读者,stable,清华大学图书馆的咨询电话、服务时间和当面咨询地点是什么？,正文提供了图书馆服务入口与联系方式：智能问答；咨询电话62782137，服务时间周一至周日8:00-22:00；邮箱ref-desk@tsinghua.edu.cn；当面咨询地点北馆一层总服务台，联系电话010-62788937，服务时间周一至周日8:00-22:00；并列出借阅、资源、空间、学习支持、科研支持等稳定栏目入口。,无明显新闻、宣传或过期通知内容，主体是图书馆服务导航与联系方式。,False,本页正文可直接回答学生常见的图书馆咨询、服务时间、地点和相关服务入口问题，属于稳定可复用的校园服务资源导航，适合入库。
PUBEXP000010,图书馆报告厅-清华大学图书馆,https://lib.tsinghua.edu.cn/kj/tsgbgt.htm,lib.tsinghua.edu.cn,2026-08-12T19:50:34+08:00,approve,图书馆服务,service_entry,清华师生及校内用户,stable,图书馆报告厅在哪里？怎么预订？联系电话是多少？,正文明确给出图书馆报告厅的用途与位置：位于西馆（逸夫馆）与老馆连接处，地理位置写明为“西馆（逸夫馆）喷水池东侧建筑的二层”；同时提供“预订链接：https://lib.tsinghua.edu.cn/tjfw/bgthhyssq.htm”和联系电话“62772208”。,无明显新闻、宣传或过期通知内容，主要是可直接使用的空间与预约信息。,False,页面提供图书馆报告厅的具体位置、预约入口和联系电话，属于可直接复用的校园空间服务信息，能稳定回答学生的实际办事问题，符合准入。
PUBEXP000011,清华大学图书馆新生专栏,http://lib.tsinghua.edu.cn/newstudents,lib.tsinghua.edu.cn,2026-08-12T19:50:56+08:00,approve,图书馆服务,resource_directory,清华大学新生,current,清华大学新生可以通过这个专栏获取哪些图书馆入馆、资源和服务指南？,正文列出了可直接使用的新生图书馆资源与服务入口，如“图书馆主页常用功能盘点”“你必须知道的电子资源TOP10”“提升信息素养，图书馆课程等你来选！”“pick你最心仪的座位”“馆际互借与文献传递服务（BALIS/CALIS/CASHL篇）”，能够支持新生了解并使用图书馆服务。,正文同时混有较多迎新活动/宣传类内容，如“迎新掠影”“迎新活动预告”“同学如是说”等，且存在重复列表；但不影响其中明确可复用的服务与资源导航价值。,False,该页虽然是新生专栏聚合页，但正文包含稳定、可复用的图书馆服务与资源导航，能直接回答新生如何使用图书馆主页、电子资源、座位、课程和文献传递服务，符合准入。
PUBEXP000012,默认排序-清华大学图书馆,https://lib.tsinghua.edu.cn/fwbl/mrpx.htm,lib.tsinghua.edu.cn,2026-08-12T19:50:57+08:00,approve,图书馆服务,resource_directory,清华学生,stable,清华大学图书馆有哪些常用服务入口，在哪里可以预约座位、借书、申请办证或联系咨询？,正文列出可直接使用的稳定服务入口与联系方式，包括“借阅/图书借还/馆际互借/办证服务”“资源”“空间”“学习支持”“科研支持”等目录；还给出具体入口如“图书馆座位预约”“单人研读间/论文写作间/团体研讨间预约”“电子资源的校外访问方式”“检索证明”“科技查新”“迎新专栏”等，并提供咨询电话62782137、邮箱ref-desk@tsinghua.edu.cn、当面咨询地点北馆一层总服务台及服务时间周一至周日8:00-22:00。,无明显负面证据；页面以服务导航和联系方式为主，不是新闻宣传或成果报道。,False,本页是清华大学图书馆的稳定服务导航页，正文直接提供学生可复用的办事入口、预约与咨询方式，适合作为图书馆服务资源条目。
PUBEXP000017,人文社科图书馆,https://lib.tsinghua.edu.cn/hs,lib.tsinghua.edu.cn,2026-08-12T19:51:03+08:00,approve,图书馆服务,resource_directory,清华学生,current,人文社科图书馆有哪些服务入口，怎么查资源、预约座位或研读间？,正文直接提供了可复用的图书馆服务入口与资源导航，包括“水木搜索”“数据库导航”“电子期刊导航”“图书借还”“座位预约”“研读间/研讨间预约”“新书通报 /资源荐购”“馆际互借”，并列出了“人文学科、外国语言与文学、社会学、政治学与国际关系、新闻与传播”等学科资源导航。,页面夹带少量公告/资源动态（如开馆时间通知、数据库试用、活动开始等），但主体是稳定可用的服务与资源入口，不影响准入判断。,False,本页正文是面向学生可直接使用的图书馆服务与学科资源导航，能够稳定回答借还、预约、检索、荐购和馆际互借等实际问题，符合准入。
PUBEXP000018,总馆、文科图书馆图书可全域预约啦！-清华大学图书馆,https://lib.tsinghua.edu.cn/info/1073/8129.htm,lib.tsinghua.edu.cn,2026-08-12T19:51:04+08:00,approve,图书馆服务,service_entry,清华大学学生,stable,清华图书馆的咨询电话、服务时间和当面咨询地点是什么？,正文明确给出图书馆咨询与人工服务入口：智能问答咨询电话62782137，服务时间周一至周日8:00-22:00；邮件ref-desk@tsinghua.edu.cn；当面咨询服务时间周一至周日8:00-22:00，地点为北馆一层总服务台，联系电话010-62788937。,页面正文未展开标题所示“总馆、文科图书馆图书可全域预约啦”的具体预约规则、流程或适用条件，主体内容偏导航与联系方式，存在正文信息不完整的问题。,False,虽然标题对应的预约通知正文未展示，但页面正文提供了可直接复用的图书馆咨询电话、服务时间、地点和邮件入口，属于学生可稳定使用的办事/服务信息，符合准入。
PUBEXP000019,清华大学图书馆美术图书馆,https://lib.tsinghua.edu.cn/arts/index.htm,lib.tsinghua.edu.cn,2026-08-12T19:51:05+08:00,approve,图书馆服务,resource_directory,清华师生，尤其美术相关读者,stable,美术图书馆的开放时间、借阅导引、座位预约和可用数据库在哪里查看？,正文直接提供了美术图书馆的开放时间“周一至周五 8:00-21:00 周六 9:30-17:00”，并列出“借阅导引、空间布局、座位预约、荐购捐赠、新书通报、通知公告、资源动态、水木搜索、数据库导航、电子期刊导航、常用数据库、特色资源”等可直接使用的服务与资源入口。,页面同时包含部分通知公告和资源动态，存在少量时效性内容，但主体是稳定的图书馆服务与资源导航。,False,本页是清华大学图书馆美术图书馆的稳定服务入口页，正文明确提供开放时间、借阅/座位预约、资源导航和数据库入口，能直接回答学生常见办事与查资源问题，符合准入。
PUBEXP000020,金融图书馆,https://lib.tsinghua.edu.cn/finance/index.htm,lib.tsinghua.edu.cn,2026-08-12T19:51:06+08:00,approve,图书馆服务,resource_directory,清华学生与五道口金融学院师生,stable,金融图书馆开放时间是几点？有哪些金融学数据库、论文和培训资源可用？,正文明确给出开放时间“8:00-22:00”“周一至周五”“周六、周日”“14:00-22:00”，并列出可复用的资源与服务入口：金融学相关数据库、金融学全文电子期刊、五道口校友专享、五道口博硕士论文、金融数据素养系列培训、国际金融机构资料、诺贝尔经济学奖得主著作、金融学专题研究论文，以及“水木搜索、数据库导航、本馆新书通报”等链接。,页面夹杂“通知公告”“资源动态”等栏目及试用通知，但主体仍是稳定的图书馆资源与服务导航，未见单纯新闻宣传为主的问题。,False,该页不是新闻宣传，而是金融图书馆的稳定服务与资源导航页，正文直接提供开放时间和可用数据库、电子期刊、论文、培训及检索入口，能持续回答学生真实办事与找资源问题，因此准入。
PUBEXP000021,常见问题（FAQ）,https://lib.tsinghua.edu.cn/finance/gk/cjwt_FAQ_.htm,lib.tsinghua.edu.cn,2026-08-12T19:51:07+08:00,approve,图书馆服务,faq,清华师生,stable,金融图书馆的开放时间、入馆证件、借书权限和数据库使用规则是什么？,正文以FAQ形式直接给出金融图书馆开放时间、适用对象、入馆证件、借书权限开通方式、通还规则、期刊借阅限制、地下书库预约借还、24小时还书窗口、数据库使用与咨询联系方式等可复用信息。,无明显新闻、宣传或过期资料；内容为稳定服务说明与常见问题解答。,False,本页是金融图书馆面向师生的常见问题页，提供明确可执行的开放时间、入馆、借还书、数据库和联系方式等长期可复用服务信息，符合准入。
PUBEXP000022,清华大学法律图书馆,https://lib.tsinghua.edu.cn/law/index.htm,lib.tsinghua.edu.cn,2026-08-12T19:51:08+08:00,approve,图书馆服务,mixed,清华师生，尤其法学相关读者,time_sensitive,法律图书馆暑假什么时候开馆？闭馆期间能否预约借书？,正文明确给出法律图书馆暑假轮休与开馆安排（2026年7月6日—8月23日轮休，8月24日起恢复正常开馆），并说明闭馆期间提供预约书服务；同时说明其作为清华大学法学学术资源与信息服务中心，为全校师生教学科研提供支持。,页面还包含馆藏展出、特藏文献与数据库介绍，部分内容偏资源宣传，但不影响其提供可直接使用的图书馆服务信息。,False,本页不仅是介绍性页面，还直接提供了学生可用的图书馆开馆时间和闭馆预约书服务等明确办事/服务入口，且属于稳定校园资源导航，符合准入。
PUBEXP000023,服务,https://lib.tsinghua.edu.cn/arts/fw/jygz.htm,lib.tsinghua.edu.cn,2026-08-12T19:51:33+08:00,approve,图书馆服务,procedure_guide,美术图书馆读者,stable,美术图书馆怎么借书、还书、预约闭架图书和缴纳逾期费用？,正文明确给出借还规则、借书地点（读者服务台、自助借书机）、预约外借流程（通过“水木搜索”预约、系统通知取书）、续借方式、通还服务、借阅数量与期限、逾期费用标准、在线/线下缴费方式、遗失赔偿手续地点，以及文印服务时间和电话。,无明显新闻宣传、活动回顾或过期通知，内容以可直接执行的借阅办事规则和服务入口为主。,False,本页是美术图书馆的稳定服务说明页，正文直接提供学生/读者可复用的借还书、预约、续借、缴费和文印等办事流程与规则，符合准入。
