id,title,relevance_score,knowledge_value,category,subcategory,content_type,authority,freshness,time_sensitivity,contains_actionable_information,personal_data_risk,possible_duplicate,possible_conflict,recommended_action,reason,review_type,prompt_version,model_name,reviewed_at,source_markdown_path
THU000029,办事指南-清华大学研究生院,96,88,校园办事,研究生院办事指南,办事指南,high,current,medium,True,none,False,False,approve,清华研究生院官方办事指南，提供在学证明、成绩单、毕业证明等办理流程和联系电话，适合校园生活智能体。,external_llm,v1,gpt-5.4-mini,2026-08-09T20:50:32+08:00,knowledge/01_raw_public/THU000029_办事指南-清华大学研究生院.md
THU000095,服务信息-清华大学,89,72,校园生活,校园服务电话与联系方式,服务指南,high,possibly_outdated,medium,True,low,True,False,approve,清华官网公开的校内服务联系方式页面，权威且对校园生活有实际用处，但内容以电话/联系信息为主，时效性可能随机构变动而变化。,external_llm,v1,gpt-5.4-mini,2026-08-09T20:50:39+08:00,knowledge/01_raw_public/THU000095_服务信息-清华大学.md
THU000027,清华大学体育部,92,68,校园生活,体育部,部门介绍,high,current,medium,True,none,False,False,approve,清华大学体育部官方主页，包含新闻动态与通知公告等校园相关信息，权威性高，适合校园生活智能体收录。,external_llm,v1,gpt-5.4-mini,2026-08-09T20:50:46+08:00,knowledge/01_raw_public/THU000027_清华大学体育部.md
THU000010,清华大学图书馆,95,84,校园生活,图书馆服务与馆藏介绍,部门介绍,high,current,medium,True,none,False,False,approve,清华大学图书馆官方介绍页，包含馆舍、馆藏、咨询电话与服务时间等校园生活实用信息，权威性高，适合收录。,external_llm,v1,gpt-5.4-mini,2026-08-09T20:50:54+08:00,knowledge/01_raw/THU000010_清华大学图书馆.md
THU000028,清华大学医院,95,88,校园生活,校医院/医疗服务,部门介绍,high,current,medium,True,low,False,False,approve,清华大学医院官方主页，提供校内就医指南、疫苗接种、专家就诊等校园健康服务信息，权威且实用。,external_llm,v1,gpt-5.4-mini,2026-08-09T20:51:01+08:00,knowledge/01_raw_public/THU000028_清华大学医院.md
THU000092,校园交通-清华大学,93,88,校园生活,校园交通,服务指南,high,current,high,True,none,False,False,approve,清华大学官方发布的校园交通服务信息，包含运行时间、线路概况和咨询方式，对校园生活有直接参考价值。,external_llm,v1,gpt-5.4-mini,2026-08-09T20:51:07+08:00,knowledge/01_raw_public/THU000092_校园交通-清华大学.md
THU000093,周边交通-清华大学,94,82,校园生活,周边交通,服务指南,high,possibly_outdated,medium,True,none,False,False,approve,清华官网发布的校园周边交通信息，权威且对出行有直接参考价值，适合校园生活知识库。,external_llm,v1,gpt-5.4-mini,2026-08-09T20:51:14+08:00,knowledge/01_raw_public/THU000093_周边交通-清华大学.md
THU000036,学生活动-清华大学,88,74,校园生活,学生活动-讲座论坛,部门介绍,high,current,low,True,none,False,False,approve,清华官网官方页面，介绍校内学生活动与讲座论坛品牌，适合校园生活知识库。,external_llm,v1,gpt-5.4-mini,2026-08-09T20:51:28+08:00,knowledge/01_raw_public/THU000036_学生活动-清华大学.md
THU000074,国际会议-清华大学,72,58,其他,国际会议/学术活动,科研信息,high,possibly_outdated,low,True,none,False,False,approve,清华官网官方学术活动信息页，适合校园知识库；内容偏介绍性且含联系方式，但时间信息较旧。,external_llm,v1,gpt-5.4-mini,2026-08-09T20:51:37+08:00,knowledge/01_raw_public/THU000074_国际会议-清华大学.md
THU000091,教工活动-清华大学,68,42,校园生活,教工活动,部门介绍,high,possibly_outdated,low,False,none,False,False,approve,清华官方公开页面，内容为教工活动介绍，权威性高；以背景说明为主，可作为校园知识库资料，但时效性不强、可操作信息较少。,external_llm,v1,gpt-5.4-mini,2026-08-09T20:51:46+08:00,knowledge/01_raw_public/THU000091_教工活动-清华大学.md
THU000047,特色项目-清华大学,82,79,新生入校,本科特色培养项目介绍,其他,high,possibly_outdated,low,True,none,False,False,approve,清华官方本科特色项目介绍页，权威性高，适合校园知识库收录；内容主要为培养项目与书院信息，时效性一般且非强时效办事信息。,external_llm,v1,gpt-5.4-mini,2026-08-09T20:51:56+08:00,knowledge/01_raw_public/THU000047_特色项目-清华大学.md
THU000003,清华大学教育基金会,28,22,其他,教育基金会/捐赠与项目资讯,新闻,high,current,low,False,none,False,False,approve,清华官方基金会网站，内容以捐赠项目和机构资讯为主，与校园生活直接办事关联较弱，但可作为可信背景信息保留。,external_llm,v1,gpt-5.4-mini,2026-08-09T20:52:05+08:00,knowledge/01_raw/THU000003_清华大学教育基金会.md
THU000049,专业学位教育-清华大学,42,58,其他,研究生专业学位教育,部门介绍,high,possibly_outdated,low,False,none,False,False,approve,清华官网正式介绍页，信息可信，主要为专业学位教育概况与培养体系介绍，适合知识库收录但对校园办事帮助有限。,external_llm,v1,gpt-5.4-mini,2026-08-09T20:52:15+08:00,knowledge/01_raw_public/THU000049_专业学位教育-清华大学.md
THU000013,统计资料-清华大学,42,38,其他,学校概况-统计资料,其他,high,current,low,False,none,False,False,approve,清华官网官方统计资料，权威性高，适合作为学校概况参考，但对校园办事的直接操作指导性较弱。,external_llm,v1,gpt-5.4-mini,2026-08-09T20:52:22+08:00,knowledge/01_raw/THU000013_统计资料-清华大学.md
THU000030,学术交流-清华大学,62,55,其他,学术交流,部门介绍,high,current,low,False,low,False,False,approve,清华官网官方页面，属于学校学术交流与科研信息介绍，权威性高、风险低，可作为校园信息库收录。,external_llm,v1,gpt-5.4-mini,2026-08-09T20:52:29+08:00,knowledge/01_raw_public/THU000030_学术交流-清华大学.md
